# PLANTILLA DE CARGA MASIVA PARA INVENTARIO

# Tabla: articles
code,name,description,unit,min_stock,max_stock,status
A001,Abrazadera omega,"3/4"" pulgada",pieza,0,10,activo
A002,Tornillo hexagonal,"M8 x 30mm",pieza,5,50,activo

# Tabla: inventory_entries
article_id,quantity,unit_cost,invoice_number,date,supplier
1,100,12.50,FAC-001,2025-06-23 10:00:00,Proveedor SA
2,200,0.80,FAC-002,2025-06-23 11:00:00,Proveedor SRL

# Tabla: inventory_exits
article_id,quantity,date,reason,user_id
1,5,2025-06-23 12:00:00,Consumo taller,2
2,10,2025-06-23 13:00:00,Entrega cliente,3
